query_id,rank,document_id,score
4641,1,44594,0.76999867
4641,2,376148,0.75012785
4641,3,406219,0.7492495
4641,4,163353,0.74024296
4641,5,527939,0.7355188
4641,6,88327,0.7314925
4641,7,497993,0.730155
4641,8,580025,0.7298474
4641,9,32833,0.7298322
4641,10,190800,0.7267592
5503,1,146277,0.8067237
5503,2,61623,0.7916119
5503,3,525959,0.7814986
5503,4,565868,0.78012574
5503,5,466145,0.7721954
5503,6,382255,0.76839155
5503,7,14732,0.7656646
5503,8,294386,0.76270884
5503,9,360193,0.761509
5503,10,444266,0.7595564
7803,1,231646,0.76088256
7803,2,195824,0.7604251
7803,3,482238,0.75986594
7803,4,270345,0.7565915
7803,5,371621,0.75551915
7803,6,62151,0.75167775
7803,7,272929,0.7500911
7803,8,168006,0.7491784
7803,9,416286,0.7444787
7803,10,350925,0.74379265
7017,1,514562,0.77472335
7017,2,329182,0.7628733
7017,3,49345,0.7621672
7017,4,216588,0.755355
7017,5,350460,0.7553164
7017,6,437777,0.7550527
7017,7,2241,0.7550228
7017,8,446629,0.7537109
7017,9,231098,0.7533919
7017,10,501056,0.748991
10152,1,113585,0.86709225
10152,2,549181,0.8398434
10152,3,371515,0.83013296
10152,4,516797,0.7387893
10152,5,37032,0.71801245
10152,6,508144,0.71481115
10152,7,565598,0.71298754
10152,8,278582,0.7124332
10152,9,393759,0.7098385
10152,10,391454,0.70589596
3451,1,165970,0.83222634
3451,2,310683,0.821973
3451,3,306460,0.8166038
3451,4,292338,0.8105843
3451,5,217124,0.8060985
3451,6,221869,0.8049446
3451,7,138096,0.8011931
3451,8,427808,0.800491
3451,9,483025,0.79879296
3451,10,498561,0.7984208
4804,1,293084,0.71347725
4804,2,162456,0.7073673
4804,3,583651,0.70711356
4804,4,190919,0.6988163
4804,5,372320,0.69451964
4804,6,104395,0.68901134
4804,7,170942,0.6876031
4804,8,460348,0.6826535
4804,9,227910,0.6799604
4804,10,116574,0.6789745
7911,1,57711,0.8889474
7911,2,131996,0.80096155
7911,3,582736,0.7370777
7911,4,406872,0.7360625
7911,5,584295,0.7271551
7911,6,370212,0.7207316
7911,7,398900,0.71116036
7911,8,486058,0.7041347
7911,9,18490,0.70330745
7911,10,278729,0.7015196
10809,1,286141,0.7524177
10809,2,329923,0.72998726
10809,3,63091,0.7279102
10809,4,153179,0.72638965
10809,5,597679,0.7259897
10809,6,93890,0.7126678
10809,7,163641,0.7082116
10809,8,543811,0.70314074
10809,9,469125,0.7005402
10809,10,74369,0.6991774
6715,1,476829,0.7590392
6715,2,491644,0.7511265
6715,3,155461,0.7463431
6715,4,209863,0.74410987
6715,5,568526,0.7440512
6715,6,195455,0.74171424
6715,7,502713,0.7400879
6715,8,89533,0.73979294
6715,9,499154,0.73922235
6715,10,13732,0.7390309
2388,1,104988,0.809479
2388,2,316149,0.7710604
2388,3,86855,0.7662423
2388,4,495791,0.74886966
2388,5,43614,0.7415788
2388,6,304641,0.72872734
2388,7,88345,0.72725177
2388,8,215620,0.7211549
2388,9,412114,0.7190186
2388,10,117960,0.71795464
753,1,451020,0.7512255
753,2,313361,0.7455152
753,3,95441,0.74191046
753,4,286654,0.7375634
753,5,14639,0.73551697
753,6,418630,0.7349607
753,7,540634,0.73252785
753,8,546372,0.7259006
753,9,283505,0.72370523
753,10,466718,0.7211051
4465,1,174033,0.7283815
4465,2,319458,0.7253072
4465,3,174543,0.72157514
4465,4,379353,0.71955436
4465,5,326167,0.7176155
4465,6,8060,0.7173331
4465,7,46381,0.71302974
4465,8,546281,0.71301055
4465,9,320816,0.71092445
4465,10,264271,0.71083546
7326,1,227542,0.8004842
7326,2,272008,0.7750789
7326,3,404339,0.763222
7326,4,163333,0.76243794
7326,5,458546,0.76016057
7326,6,130188,0.7582142
7326,7,147573,0.7571733
7326,8,35340,0.75704443
7326,9,420551,0.7563281
7326,10,389268,0.75631654
5951,1,418034,0.7582979
5951,2,159204,0.7568073
5951,3,374480,0.75572115
5951,4,599860,0.75412726
5951,5,81592,0.7487556
5951,6,232491,0.7418409
5951,7,280835,0.74088854
5951,8,67816,0.7396046
5951,9,34844,0.7378125
5951,10,284051,0.7372345
5653,1,588247,0.7661002
5653,2,33155,0.7387153
5653,3,109796,0.71848416
5653,4,11995,0.7164556
5653,5,517935,0.71592057
5653,6,234115,0.71504277
5653,7,243523,0.71091926
5653,8,571804,0.71057963
5653,9,12623,0.71036977
5653,10,472741,0.7087225
10827,1,392371,0.83957666
10827,2,38532,0.8306735
10827,3,290105,0.8262418
10827,4,39071,0.8175236
10827,5,441632,0.81417966
10827,6,336917,0.8070016
10827,7,296405,0.8069616
10827,8,396852,0.8040745
10827,9,41330,0.8022107
10827,10,301616,0.80051124
9771,1,487889,0.6727905
9771,2,29540,0.6709883
9771,3,578241,0.6700221
9771,4,542258,0.66960955
9771,5,435279,0.65893054
9771,6,582459,0.65520626
9771,7,190228,0.6541773
9771,8,80481,0.65081614
9771,9,589476,0.6493366
9771,10,142659,0.6472058
7105,1,394702,0.8102614
7105,2,187110,0.7577814
7105,3,72652,0.7544705
7105,4,508055,0.7530593
7105,5,261994,0.7466626
7105,6,496096,0.7444332
7105,7,277185,0.7380022
7105,8,490077,0.7371528
7105,9,173146,0.73075175
7105,10,396974,0.7275404
9332,1,184042,0.7751162
9332,2,328703,0.7577939
9332,3,157729,0.75677186
9332,4,58875,0.7555984
9332,5,159577,0.74585617
9332,6,293687,0.7445545
9332,7,325708,0.7380554
9332,8,178521,0.73341596
9332,9,142735,0.728712
9332,10,581127,0.7266303
3724,1,565429,0.83069134
3724,2,497561,0.82915664
3724,3,3104,0.8076504
3724,4,140917,0.8025384
3724,5,480036,0.80217427
3724,6,140330,0.8009671
3724,7,302512,0.800639
3724,8,271233,0.7983151
3724,9,273497,0.7971759
3724,10,290322,0.7952189
5853,1,383682,0.7905252
5853,2,284318,0.78864366
5853,3,40897,0.78841347
5853,4,406325,0.7868216
5853,5,387722,0.786039
5853,6,114875,0.7715386
5853,7,491692,0.77102786
5853,8,279229,0.76717496
5853,9,494148,0.76682734
5853,10,439459,0.7649202
6832,1,256587,0.73318577
6832,2,123911,0.7329993
6832,3,482503,0.72763586
6832,4,266221,0.72393334
6832,5,13524,0.72027487
6832,6,272807,0.7188766
6832,7,332244,0.7183161
6832,8,377853,0.71759844
6832,9,237066,0.71747744
6832,10,214229,0.716381
6807,1,332567,0.8680274
6807,2,8003,0.81494015
6807,3,96697,0.80057806
6807,4,242849,0.795863
6807,5,517637,0.7928028
6807,6,550642,0.7910433
6807,7,198606,0.7909698
6807,8,116675,0.78864783
6807,9,204761,0.78778064
6807,10,276860,0.78668666
570,1,79375,0.8110324
570,2,532839,0.8093307
570,3,117845,0.80084306
570,4,220459,0.7971984
570,5,150883,0.78733504
570,6,387876,0.78485435
570,7,323934,0.78227097
570,8,301616,0.78089696
570,9,224434,0.7794168
570,10,519750,0.77855116
7279,1,81483,0.83485335
7279,2,476834,0.8233155
7279,3,213373,0.8163024
7279,4,407259,0.8138975
7279,5,349417,0.8076331
7279,6,66119,0.804228
7279,7,191668,0.79918146
7279,8,518721,0.79884875
7279,9,197918,0.79525274
7279,10,464502,0.7895203
594,1,377322,0.8148203
594,2,11148,0.80794054
594,3,492694,0.745581
594,4,64881,0.7452539
594,5,213214,0.7445805
594,6,420746,0.739287
594,7,68515,0.7371031
594,8,137984,0.73466563
594,9,377147,0.7343528
594,10,451737,0.73341954
10122,1,564069,0.83035016
10122,2,297100,0.82544625
10122,3,139368,0.8099617
10122,4,144261,0.8098792
10122,5,331008,0.80952275
10122,6,89084,0.80905855
10122,7,378137,0.8086932
10122,8,502495,0.8077272
10122,9,508540,0.8070819
10122,10,459970,0.8055395
3091,1,366448,0.84243125
3091,2,187739,0.83609927
3091,3,534099,0.8286673
3091,4,274870,0.8204324
3091,5,201447,0.7963984
3091,6,95778,0.78045285
3091,7,159936,0.77791715
3091,8,108302,0.77218217
3091,9,553277,0.77180386
3091,10,595455,0.7709672
904,1,415514,0.7762687
904,2,115584,0.74983716
904,3,24890,0.7386783
904,4,460325,0.73724914
904,5,101748,0.7358595
904,6,32057,0.7345028
904,7,243949,0.73326373
904,8,502283,0.72981423
904,9,543254,0.72805876
904,10,242923,0.72744954
4037,1,453035,0.81335294
4037,2,244555,0.8034527
4037,3,347137,0.80294913
4037,4,470928,0.7963853
4037,5,355415,0.7897666
4037,6,400291,0.7859133
4037,7,304971,0.7821378
4037,8,202224,0.7812395
4037,9,427926,0.7775795
4037,10,334603,0.77627695
8537,1,143655,0.760463
8537,2,370494,0.7307794
8537,3,74839,0.73034275
8537,4,368230,0.72246397
8537,5,291600,0.7196655
8537,6,6574,0.7196143
8537,7,1001,0.7151266
8537,8,279401,0.71451145
8537,9,349974,0.7079321
8537,10,115393,0.7053598
3357,1,367216,0.7062777
3357,2,413879,0.69854546
3357,3,209974,0.69556653
3357,4,64798,0.69105244
3357,5,595919,0.6906153
3357,6,351114,0.6881783
3357,7,495076,0.6863322
3357,8,36912,0.6850318
3357,9,148250,0.6833184
3357,10,328066,0.68143356
1783,1,383172,0.7889902
1783,2,445298,0.77889097
1783,3,14609,0.7721601
1783,4,538699,0.7455305
1783,5,283505,0.74494004
1783,6,420295,0.7420083
1783,7,204554,0.73946816
1783,8,110061,0.73942065
1783,9,207997,0.73846895
1783,10,421924,0.73523545
6004,1,21768,0.75107014
6004,2,271109,0.7470867
6004,3,12201,0.737603
6004,4,374797,0.73722667
6004,5,122432,0.73096764
6004,6,416307,0.7283084
6004,7,232880,0.72436273
6004,8,5257,0.7222395
6004,9,347189,0.7195096
6004,10,104652,0.7139272
2923,1,161667,0.781143
2923,2,46381,0.76855856
2923,3,264271,0.7659305
2923,4,290714,0.7466705
2923,5,82744,0.73965216
2923,6,145737,0.73312944
2923,7,379353,0.73071563
2923,8,153121,0.7231027
2923,9,174543,0.7228802
2923,10,319458,0.71256113
5271,1,95189,0.7413862
5271,2,571295,0.7308737
5271,3,163872,0.7058399
5271,4,221439,0.699585
5271,5,483637,0.6983165
5271,6,488258,0.696264
5271,7,427884,0.6926402
5271,8,383039,0.6906959
5271,9,538734,0.6874624
5271,10,429899,0.68627703
2108,1,174384,0.7808895
2108,2,191643,0.7725183
2108,3,478781,0.77113867
2108,4,185274,0.75474787
2108,5,332194,0.7476177
2108,6,461943,0.74747235
2108,7,257841,0.7474483
2108,8,531918,0.7425916
2108,9,304080,0.7398033
2108,10,309171,0.73869467
7590,1,427629,0.80525565
7590,2,105165,0.8002165
7590,3,222505,0.7951348
7590,4,569834,0.77733517
7590,5,147282,0.7704993
7590,6,517391,0.7694589
7590,7,98978,0.76760256
7590,8,268731,0.76704687
7590,9,501153,0.7647304
7590,10,293679,0.76421905
932,1,187706,0.79200804
932,2,383172,0.7820406
932,3,303287,0.777707
932,4,387010,0.7760991
932,5,495827,0.76146007
932,6,362860,0.75935054
932,7,319965,0.75420165
932,8,196321,0.7521231
932,9,254106,0.74883014
932,10,276411,0.74812496
5981,1,286182,0.826832
5981,2,210439,0.81054175
5981,3,564554,0.78334755
5981,4,171483,0.7824868
5981,5,245532,0.7489184
5981,6,265267,0.7314959
5981,7,325564,0.7313802
5981,8,71424,0.72343755
5981,9,15376,0.7219029
5981,10,328231,0.71850866
